timestamp,test_module,test_name,initial_threads,final_threads,thread_change,leaked_threads,new_thread_names,closed_thread_names,duration_seconds
2025-09-26T21:07:33.193310,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,2,0,0,,,0.298396
2025-09-26T21:08:00.866770,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.854635
2025-09-26T21:08:28.034051,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.974273
2025-09-26T21:08:44.551138,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,2,0,0,,,0.273476
2025-09-26T21:08:55.657202,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,2,0,0,,,0.245609
2025-09-26T21:09:00.953456,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.266123
2025-09-26T21:10:50.563809,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,13,11,11,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop)|Thread-13 (_loop),,3.642472
2025-09-26T21:11:01.662644,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,13,11,11,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop)|Thread-13 (_loop),,3.256002
2025-09-26T21:11:13.164928,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,13,11,11,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop)|Thread-13 (_loop),,3.579078
2025-09-26T21:15:24.550523,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,16,14,14,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop)|Thread-13 (_loop)|Thread-14 (_loop)|Thread-15 (_loop)|Thread-16 (_loop),,4.169912
2025-09-26T21:15:36.587785,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,16,14,14,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop)|Thread-13 (_loop)|Thread-14 (_loop)|Thread-15 (_loop)|Thread-16 (_loop),,4.260964
2025-09-26T21:15:56.563667,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,16,14,14,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop)|Thread-13 (_loop)|Thread-14 (_loop)|Thread-15 (_loop)|Thread-16 (_loop),,3.329131
2025-09-26T21:16:21.461189,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,16,14,14,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop)|Thread-13 (_loop)|Thread-14 (_loop)|Thread-15 (_loop)|Thread-16 (_loop),,4.616649
2025-09-26T21:18:32.676323,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,12,10,10,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop)|Thread-12 (_loop),,4.093313
